idadmin1,idadmin2,admin1,admin2,year,age_group,reported_cases,pop,incidence_rate
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2023,45-54,0,3483,0
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2023,55-64,0,2235,0
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2023,65-74,1,856,116.82242990654204
31,3101,DKI JAKARTA,KEPULAUAN SERIBU,2023,75+,0,276,0
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2017,0-4,273,166270,164.19077404222048
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2017,5-9,260,165418,157.17757438730973
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2017,10-14,210,165605,126.80776546601855
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2017,15-19,185,175555,105.38008031670986
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2017,20-44,538,935110,57.53333832383356
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2017,45-54,92,290019,31.72205958919933
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2017,55-64,39,176902,22.046104622898554
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2017,65-74,28,76819,36.44931592444578
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2017,75+,11,28559,38.516754788332925
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2018,0-4,206,164503,125.22567977483693
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2018,5-9,284,165504,171.5970610982212
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2018,10-14,284,167655,169.39548477528257
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2018,15-19,235,175984,133.53486680607327
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2018,20-44,702,926208,75.7929104477612
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2018,45-54,130,299497,43.406110912630176
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2018,55-64,78,185712,42.00051692943913
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2018,65-74,32,80559,39.72243945431299
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2018,75+,15,30153,49.746293901104366
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2019,0-4,537,162735,329.98433035302793
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2019,5-9,725,165589,437.8310153452222
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2019,10-14,747,169704,440.17819261773445
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2019,15-19,695,176414,393.95966306528965
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2019,20-44,1579,917304,172.13486477765278
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2019,45-54,266,308977,86.09055042931998
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2019,55-64,143,194523,73.513157827095
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2019,65-74,56,84298,66.43099480414719
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2019,75+,29,31748,91.34433665112763
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2020,0-4,288,160968,178.91754882958102
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2020,5-9,382,165674,230.57329454229392
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2020,10-14,425,171754,247.44692991138487
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2020,15-19,292,176843,165.11821219952162
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2020,20-44,838,908403,92.24980542776719
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2020,45-54,180,318456,56.52272213429799
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2020,55-64,72,203334,35.40971996813125
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2020,65-74,34,88038,38.61968695336105
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2020,75+,12,33342,35.99064243296743
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2021,0-4,281,159201,176.50642897971744
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2021,5-9,364,165759,219.59591937692676
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2021,10-14,378,173804,217.4863639501968
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2021,15-19,271,177272,152.8724220407058
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2021,20-44,647,899502,71.9286894303737
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2021,45-54,120,327935,36.5926174394316
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2021,55-64,67,212145,31.582172570647433
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2021,65-74,23,91777,25.06074506684681
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2021,75+,17,34936,48.66040760247309
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2022,0-4,534,157433,339.1919102094224
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2022,5-9,836,165844,504.0881792527918
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2022,10-14,882,175853,501.5552762818946
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2022,15-19,562,177702,316.2598057421976
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2022,20-44,1391,890598,156.1871910783541
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2022,45-54,234,337415,69.35079946060489
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2022,55-64,133,220956,60.192979597747964
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2022,65-74,57,95517,59.67524105656585
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2022,75+,20,36531,54.74802222769702
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2023,0-4,298,155666,191.43550935978314
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2023,5-9,370,165930,222.98559633580425
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2023,10-14,334,177903,187.74275869434467
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2023,15-19,262,178131,147.08276493142688
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2023,20-44,725,881696,82.22788807026457
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2023,45-54,150,346893,43.24099938597781
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2023,55-64,89,229766,38.735060888033914
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2023,65-74,32,99256,32.239864592568715
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2023,75+,19,38125,49.83606557377049
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2017,0-4,573,241871,236.9031425842701
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2017,5-9,553,235345,234.97418683209756
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2017,10-14,403,230952,174.49513318784855
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2017,15-19,322,239136,134.65141174896294
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2017,20-44,812,1257363,64.57960032226175
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2017,45-54,146,373540,39.08550623761846
