idadmin1,idadmin2,admin1,admin2,year,age_group,reported_cases,pop,incidence_rate
31,3171,DKI JAKARTA,KOTA JAKARTA SELATAN,2023,45+,290,714040,40.613971206094895
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2017,0-4,573,241871,236.9031425842701
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2017,5-14,956,466297,205.0195476273705
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2017,15-44,1134,1496499,75.77686319870578
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2017,45+,302,733075,41.19633052552604
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2018,0-4,289,240746,120.04353135669959
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2018,5-14,617,470879,131.03153888790962
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2018,15-44,927,1494769,62.01627141049889
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2018,45+,256,764479,33.4868583702103
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2019,0-4,707,239622,295.04803398686266
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2019,5-14,1941,475462,408.23451716435807
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2019,15-44,3051,1493039,204.34831240175242
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2019,45+,527,795883,66.21576286966803
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2020,0-4,396,238497,166.0398244003069
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2020,5-14,1032,480044,214.9802934730983
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2020,15-44,1453,1491310,97.43111760800906
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2020,45+,369,827288,44.603572153832765
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2021,0-4,389,237372,163.87779519067118
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2021,5-14,1035,484627,213.56630975987719
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2021,15-44,1202,1489581,80.69383269523443
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2021,45+,256,858692,29.81278502652872
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2022,0-4,559,236248,236.61575971013514
31,3172,DKI JAKARTA,KOTA JAKARTA TIMUR,2022,5-14,1638,489209,334.8262194685707
